filename,vowel,Duration,F1,F2
Megan_Engl_casual_speach.wav,i,0.254,282.00,2913.31
Megan_Engl_casual_speach.wav,i,0.132,306.94,2888.39
Megan_Engl_casual_speach.wav,i,0.163,301.26,2892.50
Megan_Engl_casual_speach.wav,i,0.176,315.72,2880.01
Megan_Engl_casual_speach.wav,i,0.148,305.74,2905.20
Megan_Engl_casual_speach.wav,i,0.192,288.57,2816.04
Megan_Engl_casual_speach.wav,i,0.221,274.50,2920.81
Megan_Engl_casual_speach.wav,i,0.295,313.63,2986.79
Megan_Engl_casual_speach.wav,i,0.203,291.25,2993.71
Megan_Engl_casual_speach.wav,i,0.216,293.96,2925.84
Megan_Engl_casual_speach.wav,u,0.224,333.60,855.79
Megan_Engl_casual_speach.wav,u,0.171,398.50,1963.20
Megan_Engl_casual_speach.wav,u,0.171,418.26,1062.19
Megan_Engl_casual_speach.wav,u,0.228,372.22,1662.68
Megan_Engl_casual_speach.wav,u,0.272,389.57,1052.36
Megan_Engl_casual_speach.wav,u,0.290,360.72,1062.74
Megan_Engl_casual_speach.wav,u,0.290,361.35,1163.34
Megan_Engl_casual_speach.wav,u,0.208,324.87,1396.31
Megan_Engl_casual_speach.wav,u,0.267,353.94,1129.95
Megan_Engl_casual_speach.wav,u,0.257,313.69,1043.40
Megan_Engl_casual_speach.wav,a,0.111,837.23,1971.97
Megan_Engl_casual_speach.wav,a,0.072,843.27,1930.28
Megan_Engl_casual_speach.wav,a,0.078,792.59,1902.96
Megan_Engl_casual_speach.wav,e,0.106,682.00,2224.80
Megan_Engl_casual_speach.wav,e,0.162,796.63,1947.33
Megan_Engl_casual_speach.wav,e,0.130,692.75,2058.10
Megan_Engl_casual_speach.wav,e,0.062,813.62,1932.19
Megan_Engl_casual_speach.wav,e,0.089,855.84,1788.69
Megan_Engl_casual_speach.wav,e,0.061,772.32,1882.53
Megan_Engl_casual_speach.wav,e,0.058,773.85,1916.52
Megan_Engl_casual_speach.wav,a,0.100,883.11,1280.53
Megan_Engl_casual_speach.wav,a,0.104,920.02,1295.72
Megan_Engl_casual_speach.wav,a,0.119,887.67,1246.70
Megan_Engl_casual_speach.wav,a,0.095,875.59,1396.84
Megan_Engl_casual_speach.wav,a,0.093,917.52,1251.46
Megan_Engl_casual_speach.wav,a,0.093,869.89,1430.20
Megan_Engl_casual_speach.wav,a,0.097,882.74,1331.37
Megan_Engl_casual_speach.wav,a,0.118,816.26,1260.74
Megan_Engl_casual_speach.wav,a,0.088,912.51,1296.48
Megan_Engl_casual_speach.wav,a,0.140,888.94,1388.31
Megan_Engl_clear_speach.wav,i,0.280,299.85,2984.27
Megan_Engl_clear_speach.wav,i,0.226,314.88,2964.82
Megan_Engl_clear_speach.wav,i,0.361,293.11,3017.88
Megan_Engl_clear_speach.wav,i,0.383,289.17,3033.48
Megan_Engl_clear_speach.wav,i,0.317,298.33,3034.14
Megan_Engl_clear_speach.wav,i,0.335,294.73,2958.04
Megan_Engl_clear_speach.wav,i,0.257,304.44,2964.68
Megan_Engl_clear_speach.wav,i,0.449,274.57,2951.63
Megan_Engl_clear_speach.wav,i,0.168,328.29,2937.86
Megan_Engl_clear_speach.wav,i,0.159,326.50,2855.79
Megan_Engl_clear_speach.wav,u,0.313,315.47,1025.74
Megan_Engl_clear_speach.wav,u,0.288,318.12,692.53
Megan_Engl_clear_speach.wav,u,0.290,384.15,1895.47
Megan_Engl_clear_speach.wav,u,0.323,343.09,1616.76
Megan_Engl_clear_speach.wav,u,0.391,349.00,1389.80
Megan_Engl_clear_speach.wav,u,0.313,331.64,1460.39
Megan_Engl_clear_speach.wav,u,0.417,308.96,1556.94
Megan_Engl_clear_speach.wav,u,0.280,325.91,1881.29
Megan_Engl_clear_speach.wav,u,0.349,351.90,1189.92
Megan_Engl_clear_speach.wav,u,0.358,333.17,1273.75
Megan_Engl_clear_speach.wav,e,0.088,761.27,2024.13
Megan_Engl_clear_speach.wav,e,0.168,1026.57,2076.84
Megan_Engl_clear_speach.wav,e,0.093,788.15,2007.84
Megan_Engl_clear_speach.wav,e,0.129,645.75,2320.00
Megan_Engl_clear_speach.wav,e,0.154,801.15,2013.32
Megan_Engl_clear_speach.wav,e,0.130,698.62,2133.85
Megan_Engl_clear_speach.wav,e,0.094,850.39,1959.04
Megan_Engl_clear_speach.wav,e,0.075,868.72,1867.04
Megan_Engl_clear_speach.wav,e  ,0.112,855.11,1990.61
Megan_Engl_clear_speach.wav,e,0.086,783.40,2008.29
Megan_Engl_clear_speach.wav,a,0.109,850.39,1223.22
Megan_Engl_clear_speach.wav,a,0.096,916.11,1289.08
Megan_Engl_clear_speach.wav,a,0.112,813.10,1147.53
Megan_Engl_clear_speach.wav,a,0.116,919.39,1155.20
Megan_Engl_clear_speach.wav,a,0.141,834.97,1182.99
Megan_Engl_clear_speach.wav,a,0.151,1003.35,1107.83
Megan_Engl_clear_speach.wav,a,0.142,818.62,1166.53
Megan_Engl_clear_speach.wav,a,0.162,822.67,1152.71
Megan_Engl_clear_speach.wav,a,0.110,915.61,1254.72
Megan_Engl_clear_speach.wav,a,0.157,819.38,1239.08
Megan_French_casual_speech.wav,i,0.112,325.68,2951.25
Megan_French_casual_speech.wav,i,0.137,278.88,2999.88
Megan_French_casual_speech.wav,i,0.060,313.47,2862.93
Megan_French_casual_speech.wav,i,0.085,267.38,2857.55
Megan_French_casual_speech.wav,i,0.116,266.20,2803.72
Megan_French_casual_speech.wav,i,0.123,219.03,2741.44
Megan_French_casual_speech.wav,i,0.089,325.49,2771.96
Megan_French_casual_speech.wav,i,0.113,327.38,2893.88
Megan_French_casual_speech.wav,i,0.092,291.75,2857.36
Megan_French_casual_speech.wav,i,0.080,314.74,3051.46
Megan_French_casual_speech.wav,u,0.091,334.75,905.83
Megan_French_casual_speech.wav,u,0.082,328.73,906.18
Megan_French_casual_speech.wav,u,0.065,327.14,764.61
Megan_French_casual_speech.wav,u,0.115,289.19,1100.22
Megan_French_casual_speech.wav,u,0.094,328.96,732.65
Megan_French_casual_speech.wav,u,0.108,349.22,797.17
Megan_French_casual_speech.wav,u,0.070,289.57,879.48
Megan_French_casual_speech.wav,u,0.147,325.21,798.08
Megan_French_casual_speech.wav,u,0.111,365.99,799.29
Megan_French_casual_speech.wav,u,0.124,329.50,801.61
Megan_French_casual_speech.wav,e,0.093,738.51,1941.62
Megan_French_casual_speech.wav,e,0.114,770.86,2002.64
Megan_French_casual_speech.wav,e,0.087,778.43,1923.45
Megan_French_casual_speech.wav,e,0.072,705.15,2025.44
Megan_French_casual_speech.wav,e,0.113,741.01,1989.55
Megan_French_casual_speech.wav,e,0.078,740.82,1984.94
Megan_French_casual_speech.wav,e,0.101,654.71,1955.85
Megan_French_casual_speech.wav,e,0.054,757.97,1981.57
Megan_French_casual_speech.wav,e,0.074,722.46,2000.43
Megan_French_casual_speech.wav,e,0.082,660.33,2077.56
Megan_French_casual_speech.wav,e,0.093,571.01,2166.32
Megan_French_casual_speech.wav,e,0.054,751.08,2005.22
Megan_French_casual_speech.wav,e,0.075,720.09,2012.39
Megan_French_casual_speech.wav,a,0.154,941.33,1519.97
Megan_French_casual_speech.wav,a,0.173,978.70,1518.79
Megan_French_casual_speech.wav,a,0.138,879.61,1604.47
Megan_French_casual_speech.wav,a,0.117,876.20,1661.96
Megan_French_casual_speech.wav,a,0.121,924.25,1557.64
Megan_French_casual_speech.wav,a,0.122,842.68,1715.57
Megan_French_casual_speech.wav,a,0.131,901.87,1597.48
Megan_French_casual_speech.wav,a,0.130,873.08,1489.06
Megan_French_casual_speech.wav,a,0.136,895.53,1623.77
Megan_French_casual_speech.wav,a,0.119,779.01,1827.24
Megan_French_clear_speech.wav,i,0.144,307.55,2936.80
Megan_French_clear_speech.wav,i,0.148,293.69,3020.82
Megan_French_clear_speech.wav,i,0.142,330.51,2465.89
Megan_French_clear_speech.wav,i,0.118,330.03,2937.85
Megan_French_clear_speech.wav,i,0.141,281.43,2875.54
Megan_French_clear_speech.wav,i,0.095,229.11,2755.39
Megan_French_clear_speech.wav,i,0.076,278.65,2848.81
Megan_French_clear_speech.wav,i,0.078,240.34,2811.77
Megan_French_clear_speech.wav,i,0.078,270.03,2741.65
Megan_French_clear_speech.wav,i,0.145,325.05,2895.66
Megan_French_clear_speech.wav,u,0.148,339.45,799.77
Megan_French_clear_speech.wav,u,0.260,323.08,871.40
Megan_French_clear_speech.wav,u,0.119,346.90,814.72
Megan_French_clear_speech.wav,u,0.211,322.96,876.41
Megan_French_clear_speech.wav,u,0.273,348.31,993.74
Megan_French_clear_speech.wav,u,0.238,349.17,756.14
Megan_French_clear_speech.wav,u,0.185,314.91,866.81
Megan_French_clear_speech.wav,u,0.138,352.07,834.47
Megan_French_clear_speech.wav,u,0.156,399.53,889.97
Megan_French_clear_speech.wav,u,0.165,345.45,659.24
Megan_French_clear_speech.wav,e,0.083,807.33,1982.42
Megan_French_clear_speech.wav,e,0.117,773.34,2013.33
Megan_French_clear_speech.wav,e,0.124,800.92,1979.47
Megan_French_clear_speech.wav,e,0.079,676.03,2065.15
Megan_French_clear_speech.wav,e,0.129,709.69,2150.37
Megan_French_clear_speech.wav,e,0.094,781.65,1992.98
Megan_French_clear_speech.wav,e,0.104,736.57,2042.51
Megan_French_clear_speech.wav,e,0.078,770.41,2055.84
Megan_French_clear_speech.wav,e,0.117,751.20,2148.14
Megan_French_clear_speech.wav,e,0.123,748.15,2086.08
Megan_French_clear_speech.wav,e,0.184,674.36,2026.59
Megan_French_clear_speech.wav,e,0.074,713.75,2129.21
Megan_French_clear_speech.wav,e,0.073,708.93,2131.34
Megan_French_clear_speech.wav,a,0.218,897.66,1409.32
Megan_French_clear_speech.wav,a,0.314,925.68,1253.68
Megan_French_clear_speech.wav,a,0.295,872.30,1349.05
Megan_French_clear_speech.wav,a,0.289,894.40,1554.32
Megan_French_clear_speech.wav,a,0.148,993.64,1634.91
Megan_French_clear_speech.wav,e,0.179,737.26,2310.51
Megan_French_clear_speech.wav,a,0.224,928.04,1477.44
Megan_French_clear_speech.wav,a,0.154,869.94,1423.45
Megan_French_clear_speech.wav,a,0.203,855.22,1441.98
Megan_French_clear_speech.wav,a,0.087,974.20,1620.34